title,url,contributors,date,format,fulltext_url,trove_id,language,rights,pages,form,volume,parent,children
"Tang shi san bai shou zhu shu / Hengtangtuishi bian ; Zhang Xie zhu shu ; Wu Shaolie, Zhou Yi jiao dian",https://trove.nla.gov.au/work/11810960,"Zhang, Xie, 19th century",1834-1984,Book|Government publication,https://nla.gov.au/nla.obj-56721183,nla.obj-56721183,Chinese,Out of Copyright,39,Multi Volume Book,,,
Miao fa lian hua jing / Jiumoluoshi yi,https://trove.nla.gov.au/work/11823686,"Kumārajīva, d. 412?",1800-1999,Book|Book/Illustrated,https://nla.gov.au/nla.obj-56696709,nla.obj-56696709,Chinese,Out of Copyright,137,Multi Volume Book,,,
Proposition d'une nouvelle famille de plantes : les Butomees (Butomeaeae) / par M.L.C. Richard,https://trove.nla.gov.au/work/11824344,"Richard, L. C. (Louis Claude), 1754-1821",1815,Book/Illustrated|Book,http://nla.gov.au/nla.obj-367329032,nla.obj-367329032,,,20,Book,,,
"A note on Chorozema varium, a new greenhouse shrub from Swan River, with a plate / by Professor Lindley",https://trove.nla.gov.au/work/11824428,"Lindley, John, 1799-1865",1838-1865,Book|Book/Illustrated,https://nla.gov.au/nla.obj-367326155,nla.obj-367326155,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,6,Book,,,
Egyptian sketches / by Wm. Roby Fletcher,https://trove.nla.gov.au/work/11824781,"Fletcher, William Roby, 1833-1894",1892,Book|Book/Illustrated,http://nla.gov.au/nla.obj-394648142,nla.obj-394648142,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,122,Book,,,
"Report of proceedings in connection with the complimentary luncheon tendered to E.M.G. Eddy, Esq., Chief Commissioner of Railways for New South Wales, Sydney, August 14, 1891",https://trove.nla.gov.au/work/11825347,"Edge-Partington, James, 1854-1930",1891,Book,http://nla.gov.au/nla.obj-496654846,nla.obj-496654846,,,30,Book,,,
"Commemoration of benefactors, 1926 : commemoration service in the Great Hall Tuesday, 5th October at 1.15 p.m. / The University of Sydney",https://trove.nla.gov.au/work/11825785,University of Sydney,1926,Book,https://nla.gov.au/nla.obj-2670874414,nla.obj-2670874414,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,4,Book,,,
"Petition : to the venerable, the General Assembly of the Church of Scotland, the Petition of the undersigned, John Dunmore Lang, Master of Arts and Doctor of Divinity, Senior Minister of the Scots Church, Sydney, and of the Representatives of the City of Sydney in the Parliament of New South Wales; Honorary member of the African Institute of France, of the American Oriental Society, and of the Literary Institute of the University of Olinda in the Brazils, humbly sheweth ... [Text begins]",https://trove.nla.gov.au/work/11825894,"Lang, John Dunmore, 1799-1878",1861,Book,https://nla.gov.au/nla.obj-414610790,nla.obj-414610790,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,8,Book,,,
Hume Robertson : an appreciation,https://trove.nla.gov.au/work/11831699,Geelong College,1920-1929,Book,http://nla.gov.au/nla.obj-368046331,nla.obj-368046331,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,16,Book,,,
"In memoriam : the Reverend Thomas Gordon Molyneux, M.A., LL.B., died at 19 Welfield Place, Liverpool, 9th October, 1916",https://trove.nla.gov.au/work/11832684,,1916,Book,http://nla.gov.au/nla.obj-366915218,nla.obj-366915218,,,26,Book,,,
"The Late Rev. Thomas Robinson Cairns, D.D. : memorial sermons, also memorial minutes and account of the funeral services, with portrait",https://trove.nla.gov.au/work/11832800,"St. Andrew's Kirk (Ballarat, Vic.)",1913,Book|Book/Illustrated,http://nla.gov.au/nla.obj-362008459,nla.obj-362008459,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,48,Book,,,
"Prospectus for constructing a model, and compiling a statistical report of the town of Sydney",https://trove.nla.gov.au/work/11833029,"Low, Francis, 1788-1846",1840,Book,https://nla.gov.au/nla.obj-2353737647,nla.obj-2353737647,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,1,Book,,,
"The coming battle, Christianity's riddle, Ireland's life and death struggle : a challenge to the Pope from an Irishwoman / by Elizabeth McSweeney",https://trove.nla.gov.au/work/11833646,"McSweeney, Elizabeth",1930,Book,https://nla.gov.au/nla.obj-40472273,nla.obj-40472273,English,Out of Copyright|http://rightsstatements.org/vocab/NKC/1.0/,31,Book,,,
